"id","price.avg","brand","colors","imageURLs"
"AVpfHA14ilAPnD_xVJTa",2300,"Gucci","",""
"AVpfMi9uLJeJML434bQ2",1975,"Valentino","",""
"AVpe9fND1cnluZ0-aymI",1695,"Valentino","",""
"AVpe5ybYLJeJML43x6hZ",1631,"","Khaki,Blue","http://ecx.images-amazon.com/images/I/41NNAcmfzQL._SY300_QL70_.jpg,http://ecx.images-amazon.com/images/I/41-ho87Ct3L._SS40_.jpg,http://ecx.images-amazon.com/images/I/41NNAcmfzQL._SS40_.jpg"
"AVpflrY7LJeJML43AABE",1500,"Ralph Lauren","BlackBlack","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23054869_standard_v330.jpg"
"AVpe-lfv1cnluZ0-bL4B",1450,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21037310_standard_v330.jpg"
"AVpi3Pi41cnluZ0-RUAF",1400,"Ralph Lauren","BlackCrystal","http://www.ralphlauren.com/graphics/product_images/pPOLO2-16967627_standard_v330.jpg"
"AVpf3Eq51cnluZ0-smQs",1390,"Marni","",""
"AVph_t6Z1cnluZ0-IqK3",1375,"Valentino","",""
"AVpfM4hZLJeJML434iR8",1350,"Prada","",""
"AVpe6r4fLJeJML43yP-z",1295,"Valentino","",""
"AVph__hTLJeJML43hITi",1295,"Valentino","",""
"AVpfc_RU1cnluZ0-lAos",1248,"Ralph Lauren","Camel","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087194_standard_v330.jpg"
"AVpfeOEr1cnluZ0-lU9U",1200,"Ralph Lauren","Black,Brown","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21544280_standard_v330.jpg"
"AVpjPBhn1cnluZ0-Usgx",1200,"Ralph Lauren","Cream","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21544488_standard_v330.jpg"
"AVpfyXLHLJeJML43Duit",1195,"Christian Louboutin","",""
"AVpe_sM4LJeJML430C5w",1150,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21037336_standard_v330.jpg"
"AVph1veiilAPnD_x955E",1120,"Simone Rocha","",""
"AVpe9Ewr1cnluZ0-apAH",1100,"Prada","",""
"AVpfA2V9ilAPnD_xTBeT",1100,"MALONE SOULIERS","",""
"AVpfAjkUilAPnD_xS68E",1100,"Ralph Lauren","RL Gold,Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087350_standard_v330.jpg"
"AVpfrcgI1cnluZ0-pQnB",1100,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087298_standard_v330.jpg"
"AVpfTmewLJeJML436tun",1100,"Gucci","",""
"AVpgciV_LJeJML43OADo",1100,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-18597906_standard_v330.jpg"
"AVpe_iMBilAPnD_xSjo9",1095,"Christian Louboutin","",""
"AVpfIAxs1cnluZ0-ecTA",1095,"Saint Laurent","",""
"AVpgEZ3T1cnluZ0-v90R",1095,"Nicholas Kirkwood","",""
"AVphu6IY1cnluZ0-FyLE",1095,"Burberry","",""
"AVpir2II1cnluZ0-PsQt",1025,"Stella McCartney","",""
"AVpgceMvLJeJML43N_NO",1020,"Valentino","",""
"AVpe6J5kilAPnD_xQnys",995,"Alexander Wang","",""
"AVpf7Z8z1cnluZ0-trPA",995,"Ralph Lauren","NaturalTan","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23055010_standard_v330.jpg"
"AVpfiLB71cnluZ0-mdRy",995,"Ralph Lauren","Dark Brown,Black,Saddle","http://www.ralphlauren.com/graphics/product_images/pPOLO2-15894858_standard_v330.jpg"
"AVpgk5uFLJeJML43P3Uf",995,"Paul Andrew","",""
"AVphXL5-ilAPnD_x4gRl",995,"Giuseppe Zanotti","",""
"AVpfGjagilAPnD_xU_a2",980,"Gucci","",""
"AVpfY8c-ilAPnD_xa7pJ",975,"Jimmy Choo","",""
"AVpfM_v51cnluZ0-gGV9",950,"Givenchy","",""
"AVpfVn6XilAPnD_xZ7J5",950,"Burberry","",""
"AVpgGuGE1cnluZ0-witv",950,"Jimmy Choo","",""
"AVpgZ6lpLJeJML43Ndq2",950,"Ralph Lauren","Tan,Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23054986_standard_v330.jpg"
"AVpgjCcILJeJML43PcKf",912,"Ralph Lauren","Snuff","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087750_standard_v330.jpg"
"AVpe7In41cnluZ0-Z71O",895,"Ralph Lauren","Natural Multi","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23513548_standard_v330.jpg"
"AVpftnPYLJeJML43CWbb",895,"Ralph Lauren","Black,Taupe","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21544462_standard_v330.jpg"
"AVpgvYIRLJeJML43SNNx",895,"Giuseppe Zanotti","",""
"AVpgb7FkilAPnD_xsZpa",890,"Prada","",""
"AVphFAsfilAPnD_x0-r2",890,"Marni","",""
"AVpgVpo51cnluZ0-0HHd",861,"Ralph Lauren","Tan","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087646_standard_v330.jpg"
"AVpfh9Gd1cnluZ0-mZcE",860,"Ralph Lauren","BlackBlack","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087519_standard_v330.jpg"
"AVpfQl6kLJeJML435wLp",850,"Jimmy Choo","",""
"AVpiXugrilAPnD_xDhWN",850,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21544203_standard_v330.jpg"
"AVpfV58EilAPnD_xaA3h",813,"Ralph Lauren","Camel","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087064_standard_v330.jpg"
"AVpfZOHALJeJML438dY_",813,"Ralph Lauren","BlackSilver","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087533_standard_v330.jpg"
"AVpfGrVAilAPnD_xVCDZ",797,"Ralph Lauren","BlackBlack","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23095768_standard_v330.jpg"
"AVpe79vxilAPnD_xRR7z",795,"Ralph Lauren","Tan","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087012_standard_v330.jpg"
"AVpe8sVQLJeJML43y-ds",795,"Ralph Lauren","Lavender","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23054713_standard_v330.jpg"
"AVpf6aCp1cnluZ0-tb91",795,"Ralph Lauren","Tan","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21086999_standard_v330.jpg"
"AVpfFt_rLJeJML432JxL",795,"Ralph Lauren","RL Gold,Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087090_standard_v330.jpg,http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087103_standard_v330.jpg"
"AVpfiwRmLJeJML43_GAM",795,"Valentino","",""
"AVpflFRpilAPnD_xeXa2",795,"Paul Andrew","",""
"AVpfps-ALJeJML43BMr9",795,"Tod's","",""
"AVpg6lexilAPnD_xy3-G",795,"Jimmy Choo","",""
"AVpgMKz81cnluZ0-xzh8",795,"Ralph Lauren","NO COLOR","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23735186_standard_v330.jpg"
"AVphEvR11cnluZ0-9-tL",795,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23054843_standard_v330.jpg"
"AVpe8-m81cnluZ0-amtK",784,"Ralph Lauren","Camel,Snuff,Cream","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087726_standard_v330.jpg"
"AVpfPliGLJeJML435a-S",775,"Lanvin","",""
"AVpgkdUwLJeJML43Pw-K",763,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087506_standard_v330.jpg"
"AVpfj-wTLJeJML43_ehm",762,"Ralph Lauren","Pebble Grey","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21544242_standard_v330.jpg"
"AVpfOCmNilAPnD_xXeEF",761,"Ralph Lauren","HoundstoothBlack","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21086947_standard_v330.jpg"
"AVpgDCrLLJeJML43ID0Z",761,"Ralph Lauren","CamelTan","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087077_standard_v330.jpg"
"AVpe5nryLJeJML43x2fW",755,"Journee Collection","Brown","https://i5.walmartimages.com/asr/25e635ad-a25e-4b2a-b9bf-c76f0566b8fb_1.9e87ca649d24b6f4b0ac59745341fd69.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpfKtnFLJeJML4330Tt",750,"Alexander Wang","",""
"AVpfMWqiLJeJML434XP1",750,"Ralph Lauren","RL Gold,Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087129_standard_v330.jpg"
"AVpgeLDFLJeJML43OW1j",750,"Ivy Kirzhner","",""
"AVphg4Ww1cnluZ0-DYdw",750,"Givenchy","",""
"AVpijsnKLJeJML43m0fK",750,"Jimmy Choo","",""
"AVpimQoW1cnluZ0-OyjN",750,"Jimmy Choo","",""
"AVpiAXGJLJeJML43hMJ7",745,"Charlotte Olympia","",""
"AVpfPbIpilAPnD_xX7Mm",734,"Ralph Lauren","Brown,Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21544190_standard_v330.jpg"
"AVpfI98A1cnluZ0-exYN",720,"Chloe","",""
"AVpgW5y81cnluZ0-0YhD",700,"Fendi","",""
"AVpgxql6LJeJML43Spwd",700,"Fendi","",""
"AVqCJnS6v8e3D1O-lSpZ",700,"Valentino","Grey",""
"AVpe_paCLJeJML430B5G",695,"Saint Laurent","",""
"AVpe5srPilAPnD_xQczt",695,"Ralph Lauren","BlackWhite","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23054687_standard_v330.jpg"
"AVpfC4tFilAPnD_xTu0S",695,"Lanvin","",""
"AVpfkm-mLJeJML43_rLF",695,"Saint Laurent","",""
"AVpfmdXZ1cnluZ0-nxgT",695,"Christian Louboutin","",""
"AVpgBKoWilAPnD_xmGlM",695,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-20239145_standard_v330.jpg"
"AVpgNZhkLJeJML43KjQS",695,"Jimmy Choo","",""
"AVpjTnyS1cnluZ0-VXdZ",690,"Prada","",""
"AVpfqrT_LJeJML43Be60",679,"Ralph Lauren","RL Gold,Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087168_standard_v330.jpg"
"AVpfEFK5LJeJML431lKd",665,"Manolo Blahnik","",""
"AVpg1gu0LJeJML43TWv5",665,"Giuseppe Zanotti","",""
"AVpe5ZJpLJeJML43xxDm",660,"Gucci","",""
"AVpe7Fp6LJeJML43yZUJ",650,"Ralph Lauren","Tan","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21086986_standard_v330.jpg"
"AVpfmfAY1cnluZ0-nyAz",650,"Fendi","",""
"AVpfQd-pLJeJML435ti4",650,"Ralph Lauren","BlackBlack","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23054674_standard_v330.jpg"
"AVpfazA4ilAPnD_xbcIc",645,"Helmut Lang","",""
"AVpgMDeDilAPnD_xowxj",645,"Balenciaga","",""
"AVpfelzeilAPnD_xccgv",636,"Ralph Lauren","Camel","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21776349_standard_v330.jpg"
"AVpfK-YX1cnluZ0-fbm7",625,"Lanvin","",""
"AVpgXxLDilAPnD_xri0n",625,"Lanvin","",""
"AVphg1pI1cnluZ0-DX-p",625,"Ralph Lauren","Brown LeopardTan","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087155_standard_v330.jpg"
"AVpfJnrjLJeJML433dgu",624,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21397411_standard_v330.jpg"
"AVpfkTxLLJeJML43_lFJ",622,"Tamara Mellon","","https://i5.walmartimages.com/asr/cd23a2bb-4108-4282-bed1-dd8c3dff8484_1.7ef695494e4bce9933ceec0fabc74f16.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpg0DEoilAPnD_xxmcI",620,"Alexandre Birman","",""
"AVpfDjvDilAPnD_xT9VR",610,"Marni","",""
"AVpfn4hQLJeJML43AqzP",601,"Red Valentino","Multicolor","https://i5.walmartimages.com/asr/c175cc95-bba2-4990-b424-81a36dc4bc97_1.6368e0dcc760d3b00be48b8527b95747.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpi2RCzilAPnD_xIEdD",598,"DELMAN","Dark Brown Stretch","http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8409008120?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fdelmanliliataupestretch-1.jpg&d=ec56198874f07fbf03ff450b7437032acbe95ae2,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8409007920?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fdelmanlilia-ssdkbrownstretch-1.jpg&d=7ea220c876ba984b3f96384629f5e91e8540bded,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8409008020?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fdelmanliliagreystretch-1.jpg&d=0363935bad762ca104fc5ebf0b13621765cfecdd,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8409008620?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fdelmanlilia-ssdkbrownstretch-1.jpg&d=5fc255d8c0c6f0f3aa08e62b4a430cb08c7bc67d,http://c.shld.net/rpx/i/s/pi/mp/1239/prod_8409007820?src=http%3A%2F%2Fd3d71ba2asa5oz.cloudfront.net%2F22001016%2Fimages%2Fdelmanlilia-ssblackstretch-1.jpg&d=6674a326068b4ce8afb94a6dc471c134d1cf20d9"
"AVpf7VTI1cnluZ0-tqIB",597,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-19283201_standard_v330.jpg"
"AVpe_CllLJeJML43z0lJ",595,"Lanvin","",""
"AVpfDwuzilAPnD_xUBxb",595,"Ralph Lauren","Caramel","http://www.ralphlauren.com/graphics/product_images/pPOLO2-23054817_standard_v330.jpg"
"AVpgjyF-ilAPnD_xuIg6",595,"Ralph Lauren","Black,Brown","http://www.ralphlauren.com/graphics/product_images/pPOLO2-19001643_standard_v330.jpg"
"AVpfCJdE1cnluZ0-cciZ",590,"Prada","",""
"AVpfBixMLJeJML430tXo",585,"Santoni","Gray","https://i5.walmartimages.com/asr/e69bf128-e153-4bd5-9ede-cd44461817ae_1.ef2b66be6cf05039c3f7b43dfa86c684.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpfeEcxLJeJML439v3y",575,"Alexander McQueen","",""
"AVpfIQ6B1cnluZ0-eh5Z",570,"CA by CINZIA ARAIA","",""
"AVpfRFhxilAPnD_xYd2O",570,"Golden Goose","",""
"AVpgR5ikilAPnD_xqMhI",570,"Chloe","",""
"AVphYe4eilAPnD_x4v6J",567,"Ferragamo","Black",""
"AVpfijdpilAPnD_xdlId",566,"FIORENTINI + BAKER","",""
"AVpffuutLJeJML43-N6i",565,"Adieu","",""
"AVpfy7GrLJeJML43D4rz",560,"SOPHIA WEBSTER","",""
"AVpfFubD1cnluZ0-drfo",558,"Yves Saint Laurent","","https://i5.walmartimages.com/asr/3dd349e9-abbe-4a45-9a63-e63067538c45_1.340a44660896b24c5c94032eeeb3aadd.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpe6OpjilAPnD_xQpk4",556,"Lowa","Green","https://i5.walmartimages.com/asr/8a7c4832-8a10-4149-b978-5b4e665104bf_1.af04d599aefdde2dc60b70a5ffa8a82e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF"
"AVpf3Mwd1cnluZ0-socl",550,"Ralph Lauren","Camel,Snuff","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087454_standard_v330.jpg"
"AVpf5uo41cnluZ0-tROd",550,"Ralph Lauren","Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-20531461_standard_v330.jpg"
"AVpf70Zi1cnluZ0-txYt",550,"Robert Clergerie","",""
"AVpfMnY3ilAPnD_xXAUD",550,"Ralph Lauren","Camel,Black","http://www.ralphlauren.com/graphics/product_images/pPOLO2-21087797_standard_v330.jpg"
"AVpfnTFGilAPnD_xfCUh",550,"Jimmy Choo","",""
